Kundenname,Alter,Zahlungsmethode,ø Preis,Menge,Datum,Uhrzeit
Brunhild Schmiedt,61,EC-Karte,30.99,5,03.01.2022,11:17:51
Kenan Paffrath B.Eng.,61,Bar,43.99,2,03.01.2022,11:52:51
Dipl.-Ing. Hans-Hermann Mohaupt B.Eng.,49,EC-Karte,35.99,8,03.01.2022,12:00:48
Sergej Naser,62,EC-Karte,35.99,5,03.01.2022,12:13:22
Karsten Meyer-Stahr,67,Kreditkarte,57.99,6,03.01.2022,12:13:32
Konstantin Heydrich,59,Kreditkarte,48.99,9,03.01.2022,12:22:35
Nadine Klapp,31,EC-Karte,24.99,2,03.01.2022,12:37:26
Heinfried Textor,50,Kreditkarte,39.99,6,03.01.2022,13:04:00
Hiltraud van der Dussen,46,Bar,55.99,2,03.01.2022,14:42:41
Danilo Wagenknecht-Wiek,52,EC-Karte,42.99,7,03.01.2022,14:52:35
Cäcilia Kramer,22,Bar,13.99,4,03.01.2022,14:54:10
Univ.Prof. Cord Beier,22,EC-Karte,27.99,1,03.01.2022,15:14:25
Renato Hecker,52,Bar,36.99,6,03.01.2022,15:20:16
Ernest Löffler,62,Bar,36.99,4,03.01.2022,15:21:54
Prof. Ehrhard Fiebig,59,Kreditkarte,47.99,6,03.01.2022,15:25:07
Isabelle Fliegner,61,Bar,42.99,2,03.01.2022,15:33:07
Ellinor Ernst,66,Bar,51.99,8,03.01.2022,15:33:57
Dr. Jaqueline Holzapfel,55,Kreditkarte,34.99,9,03.01.2022,16:42:45
Selma Schacht-Flantz,60,EC-Karte,31.99,6,03.01.2022,17:30:03
Anneliese Zirme-Hein,65,Kreditkarte,39.99,4,03.01.2022,17:38:38
Milan Ullmann,57,Bar,33.99,7,03.01.2022,17:58:10
Leon Jäkel,59,EC-Karte,35.99,5,03.01.2022,18:08:00
Czeslaw Hornich-Scheibe,64,EC-Karte,45.99,8,03.01.2022,18:11:29
Traute Ziegert,45,Kreditkarte,29.99,6,03.01.2022,19:39:13
Ulf Junitz,26,EC-Karte,18.99,6,04.01.2022,10:56:01
Heinz-Otto Naser,46,EC-Karte,43.99,3,04.01.2022,11:00:45
Otfried Hande,69,Bar,49.99,9,04.01.2022,11:35:29
Anett Grein Groth-Wesack,55,Bar,42.99,2,04.01.2022,12:00:54
Vadim Söding,55,Kreditkarte,44.99,2,04.01.2022,12:34:58
Metin Eimer-Tröst,60,Bar,27.99,5,04.01.2022,12:37:04
Miguel Cichorius,29,Bar,23.99,3,04.01.2022,12:39:13
Cosima Baum,33,Bar,23.99,3,04.01.2022,12:48:23
Jürgen Lübs-Zirme,66,EC-Karte,40.99,7,04.01.2022,12:49:32
Frau Hildegund Rädel MBA.,32,EC-Karte,23.99,5,04.01.2022,13:04:19
Harry Weller,22,Kreditkarte,16.99,3,04.01.2022,13:07:04
Theda Caspar-Jopich,68,Kreditkarte,45.99,4,04.01.2022,13:29:48
Dr. Imelda Hesse,66,EC-Karte,43.99,6,04.01.2022,13:59:07
Adelbert Ullrich,49,Kreditkarte,37.99,5,04.01.2022,13:59:26
Philip Austermühle,54,EC-Karte,50.99,4,04.01.2022,14:27:51
Carlo Werner,25,Kreditkarte,16.99,5,04.01.2022,14:39:54
Hardy Plath,62,Bar,40.99,3,04.01.2022,14:42:35
Frau Elwira Oderwald B.A.,57,Bar,43.99,8,04.01.2022,14:45:29
Hedi Zahn-Davids,64,Bar,33.99,5,04.01.2022,15:44:23
Dr. Marianne Stahr B.Sc.,50,Bar,31.99,6,04.01.2022,15:46:39
Gilbert Linke,51,Bar,36.99,2,04.01.2022,16:28:13
Dr. Gülsen Weimer B.Sc.,60,EC-Karte,35.99,5,04.01.2022,17:41:16
Ingried Jacobi Jäckel,58,EC-Karte,37.99,2,04.01.2022,17:44:42
Thorsten Schulz,59,Kreditkarte,43.99,3,04.01.2022,17:54:10
Isabelle Gute B.A.,38,EC-Karte,23.99,4,04.01.2022,18:47:38
Prof. Max Weimer B.Sc.,65,EC-Karte,44.99,2,04.01.2022,19:04:48
Wilfried Mälzer-Reising,32,Bar,18.99,4,04.01.2022,19:52:57
Roswitha Gunpf,51,Bar,47.99,3,05.01.2022,10:17:58
Virginia Albers,54,Bar,48.99,6,05.01.2022,11:30:26
Samir Bolander,70,EC-Karte,41.99,3,05.01.2022,11:33:10
Heinz-Otto Mielcarek B.Eng.,32,EC-Karte,19.99,2,05.01.2022,11:59:04
Kasimir Misicher B.Sc.,47,EC-Karte,39.99,6,05.01.2022,12:13:39
Frau Constance Börner,67,Kreditkarte,34.99,6,05.01.2022,12:16:45
Jana Rädel,64,Kreditkarte,52.99,3,05.01.2022,12:32:52
Karen Knappe-Bähr,35,Bar,22.99,3,05.01.2022,12:58:01
Bernd Gierschner,50,Bar,41.99,5,05.01.2022,13:18:17
Ferenc Barkholz,54,EC-Karte,38.99,7,05.01.2022,13:48:20
Jenny Oestrovsky,57,Bar,35.99,4,05.01.2022,13:54:51
Bodo Lange,53,Bar,42.99,4,05.01.2022,13:59:26
Prof. Mahmut Drubin B.Sc.,31,EC-Karte,22.99,1,05.01.2022,14:22:01
Univ.Prof. Korbinian Rose B.Sc.,61,Bar,33.99,7,05.01.2022,14:29:42
Lorenz Henck,66,Bar,45.99,3,05.01.2022,14:31:29
Prof. Jaqueline Etzold,55,EC-Karte,54.99,5,05.01.2022,14:32:36
Dipl.-Ing. Gitta Ruppert,56,Bar,31.99,3,05.01.2022,15:03:10
Karlheinz Hering,45,Bar,38.99,6,05.01.2022,15:13:48
Jose Budig-Trub,27,Bar,20.99,4,05.01.2022,15:14:42
Insa Mitschke-Lorch,49,EC-Karte,35.99,6,05.01.2022,15:23:20
Corina Ullrich,59,Kreditkarte,29.99,6,05.01.2022,15:27:17
Frau Kreszenz Röhricht,58,EC-Karte,47.99,6,05.01.2022,16:56:32
Bernhard Ladeck,61,EC-Karte,31.99,5,05.01.2022,17:36:36
Viktor Hofmann,29,Kreditkarte,15.99,3,05.01.2022,17:48:23
Irmtraud auch Schlauchin,52,EC-Karte,31.99,9,05.01.2022,18:00:14
Enrico Wulff,52,Kreditkarte,32.99,5,05.01.2022,18:23:45
Lioba Kranz B.A.,56,EC-Karte,40.99,4,05.01.2022,18:50:07
Univ.Prof. Natalja Blümel MBA.,49,Bar,41.99,3,05.01.2022,19:39:55
Harro Zorbach,64,Bar,37.99,9,06.01.2022,10:34:23
Rosalinde Oderwald,28,EC-Karte,21.99,2,06.01.2022,10:58:48
Klaus-Michael Hornig,60,Kreditkarte,34.99,4,06.01.2022,11:16:39
Patrizia Aumann,57,EC-Karte,37.99,3,06.01.2022,11:19:27
José Junitz B.Eng.,62,Kreditkarte,38.99,4,06.01.2022,12:06:58
Dipl.-Ing. Zeljko Adler B.Sc.,31,Bar,25.99,2,06.01.2022,12:16:58
Dr. Ekkehard Zahn,26,Bar,21.99,1,06.01.2022,12:28:33
Sieghard Drewes,21,EC-Karte,23.99,1,06.01.2022,12:28:39
Irena Kobelt,32,Bar,16.99,4,06.01.2022,12:39:07
Ehrentraud Jacobi Jäckel,55,EC-Karte,39.99,5,06.01.2022,12:41:08
Gülsen Gertz B.Eng.,66,EC-Karte,45.99,6,06.01.2022,13:03:42
Roger Hellwig,50,EC-Karte,40.99,6,06.01.2022,13:06:49
Ing. Kirstin Meister B.A.,37,Kreditkarte,42.99,5,06.01.2022,13:26:20
Magnus Eberhardt,33,Kreditkarte,20.99,5,06.01.2022,13:47:33
Mathilde Segebahn B.Eng.,61,Bar,47.99,6,06.01.2022,14:11:14
Carolin Kobelt MBA.,63,Kreditkarte,34.99,8,06.01.2022,14:13:14
Susana Kallert B.Sc.,64,EC-Karte,31.99,6,06.01.2022,14:35:17
Alexandre Klotz,58,EC-Karte,39.99,6,06.01.2022,14:46:23
Sven Gertz,60,Kreditkarte,47.99,3,06.01.2022,15:13:04
Dr. Paolo Rust MBA.,54,Bar,27.99,7,06.01.2022,16:05:52
Verena Riehl,65,EC-Karte,45.99,6,06.01.2022,16:11:45
Burkard Benthin,27,Bar,16.99,3,06.01.2022,16:20:55
Herr Matthäus Riehl B.Eng.,50,EC-Karte,35.99,4,06.01.2022,17:18:30
Dr. Brit Keudel,25,Bar,19.99,4,06.01.2022,18:45:05
Univ.Prof. Helga Drubin MBA.,61,Bar,34.99,1,06.01.2022,18:52:36
Nelli Henschel,68,EC-Karte,39.99,1,06.01.2022,19:18:01
Petar Mentzel-Kensy,23,Kreditkarte,21.99,2,06.01.2022,19:58:11
Friedrich Linke B.Sc.,62,Bar,40.99,3,07.01.2022,10:09:05
Herr Ferdinand Schönland B.Sc.,59,Bar,42.99,4,07.01.2022,11:04:14
Apollonia Hermann,49,EC-Karte,36.99,4,07.01.2022,11:19:39
Hilma Stadelmann,51,Bar,43.99,5,07.01.2022,11:37:11
Christina Jockel,63,EC-Karte,42.99,4,07.01.2022,11:43:21
Ferenc Weimer,61,EC-Karte,41.99,4,07.01.2022,12:00:33
Franz Josef Stiffel,40,Bar,15.99,4,07.01.2022,12:05:46
Katherina Scholtz-Ernst,55,EC-Karte,32.99,7,07.01.2022,12:10:30
Joana Wähner,65,EC-Karte,48.99,6,07.01.2022,12:16:36
Prof. Mohammed Schäfer,52,Bar,28.99,4,07.01.2022,12:23:52
Dipl.-Ing. Sieghard Stolze MBA.,60,Bar,40.99,8,07.01.2022,12:48:55
Paul-Heinz Mentzel-Döhn,33,EC-Karte,19.99,6,07.01.2022,13:09:58
Mona Klemt B.Sc.,29,Kreditkarte,27.99,1,07.01.2022,13:24:46
Dr. Agnes Killer,32,EC-Karte,19.99,1,07.01.2022,14:29:55
Gertrud Naser,47,Bar,33.99,1,07.01.2022,15:11:43
Dipl.-Ing. Anita Bähr,27,Bar,18.99,8,07.01.2022,15:25:24
Nuran Römer,51,Kreditkarte,45.99,3,07.01.2022,15:50:20
Valentina Sauer,49,Bar,33.99,2,07.01.2022,15:51:49
Hans-Wolfgang Schmiedt,58,EC-Karte,43.99,8,07.01.2022,16:34:08
Hans-H. Barth,56,Bar,32.99,5,07.01.2022,16:42:01
Harri Zänker,61,EC-Karte,31.99,3,07.01.2022,17:04:52
Minna Berger,41,EC-Karte,20.99,4,07.01.2022,17:51:30
Josef Fritsch,49,Kreditkarte,50.99,6,07.01.2022,18:09:17
Cora Hölzenbecher-Holzapfel,70,Bar,54.99,5,07.01.2022,18:09:27
Valeska Eberth,30,Bar,22.99,3,07.01.2022,19:28:02
Alexa Döring-Kruschwitz,32,Kreditkarte,25.99,1,07.01.2022,19:35:11
Inken Mielcarek,44,Kreditkarte,38.99,6,07.01.2022,19:35:27
Marija Linke-Neureuther,22,EC-Karte,22.99,3,07.01.2022,19:52:36
Marie-Theres Knappe,66,Bar,45.99,6,08.01.2022,10:03:46
Dr. Sonia Naser B.A.,45,EC-Karte,47.99,3,08.01.2022,10:07:34
Holger Kitzmann,26,Kreditkarte,17.99,2,08.01.2022,10:29:08
Ferenc Junck,53,Kreditkarte,35.99,4,08.01.2022,11:15:17
Ian Jacobi Jäckel B.A.,33,Kreditkarte,21.99,2,08.01.2022,11:20:59
Grit Ullmann,33,Bar,26.99,4,08.01.2022,11:51:33
Franz Stumpf,59,Bar,37.99,3,08.01.2022,13:02:21
Mercedes Wulf,33,Kreditkarte,23.99,3,08.01.2022,13:07:43
Tillmann Schaaf B.A.,47,Bar,30.99,9,08.01.2022,13:30:40
Hans-Herbert Gutknecht-Stumpf,60,Kreditkarte,44.99,7,08.01.2022,13:51:59
Jaroslaw Wagner MBA.,61,Kreditkarte,42.99,9,08.01.2022,14:01:05
Edgar Hermighausen-Bohnbach,44,EC-Karte,16.99,2,08.01.2022,14:05:18
Sieghard Fischer-Börner,57,Bar,33.99,4,08.01.2022,14:15:27
Mirja Mülichen-Segebahn,54,Kreditkarte,28.99,6,08.01.2022,14:21:37
Lilly Kohl B.Sc.,54,Kreditkarte,25.99,6,08.01.2022,15:07:14
Freia Gutknecht,55,Bar,32.99,3,08.01.2022,15:19:43
Sören Hentschel,56,Bar,35.99,10,08.01.2022,15:54:49
Ing. Rolf-Dieter Ullmann MBA.,59,EC-Karte,37.99,4,08.01.2022,16:02:02
Herr Herbert Hartmann,65,Kreditkarte,39.99,8,08.01.2022,16:18:30
Kornelius Zobel-Spieß,37,EC-Karte,40.99,7,08.01.2022,16:27:52
Nadeshda Stoll,64,Bar,38.99,4,08.01.2022,16:41:08
Nadeshda Roskoth-Röhricht,34,Kreditkarte,21.99,4,08.01.2022,17:02:49
Prof. Bertha Börner MBA.,58,EC-Karte,33.99,2,08.01.2022,17:04:11
Philipp Gumprich,30,EC-Karte,14.99,2,08.01.2022,17:13:56
Karl-Hermann Adler,52,Bar,42.99,5,08.01.2022,17:29:24
Frau Kathi Stolze,66,Bar,47.99,6,08.01.2022,18:41:24
Univ.Prof. Charles Schweitzer B.A.,54,Kreditkarte,43.99,6,08.01.2022,18:53:15
Patrick Döring-Gnatz,61,Bar,46.99,6,09.01.2022,10:01:34
Lorenz Hering,63,Kreditkarte,42.99,7,09.01.2022,10:07:53
Maxim Biggen,61,Kreditkarte,39.99,3,09.01.2022,11:21:40
Ernest Eberhardt,49,EC-Karte,34.99,3,09.01.2022,11:23:05
Arnulf Vogt,48,Kreditkarte,45.99,6,09.01.2022,11:50:12
Ingetraud Patberg MBA.,45,EC-Karte,34.99,7,09.01.2022,11:58:59
Svetlana Textor,64,EC-Karte,33.99,5,09.01.2022,12:38:24
Heinz-Wilhelm Löwer,67,EC-Karte,32.99,3,09.01.2022,12:42:21
Eveline Weller,34,EC-Karte,20.99,5,09.01.2022,12:53:50
Klaus Beier,39,EC-Karte,47.99,5,09.01.2022,12:54:02
Francesco Holt,58,EC-Karte,50.99,7,09.01.2022,13:00:40
Slavko Henck,32,Kreditkarte,16.99,2,09.01.2022,14:32:27
Heimo Junck,56,Kreditkarte,39.99,4,09.01.2022,14:35:08
Ing. Gerhardt Aumann,57,Bar,38.99,5,09.01.2022,14:40:30
Ing. Yasemin Carsten,63,EC-Karte,39.99,5,09.01.2022,14:48:15
Ahmet Stadelmann,54,EC-Karte,39.99,3,09.01.2022,14:56:21
Prof. Daria Ebert,39,Bar,17.99,2,09.01.2022,16:46:18
Manuel Söding,48,Kreditkarte,32.99,8,09.01.2022,17:04:56
Ing. Alfonso Weiß,51,EC-Karte,34.99,4,09.01.2022,17:20:43
Univ.Prof. Traudel Girschner MBA.,57,Kreditkarte,37.99,7,09.01.2022,17:33:46
Lukas Heydrich,48,EC-Karte,35.99,3,09.01.2022,18:18:02
Gunar Etzler,63,Bar,41.99,5,09.01.2022,18:19:12
Horst-Peter Boucsein,57,EC-Karte,36.99,6,09.01.2022,18:21:37
Ernestine Müller,57,Kreditkarte,24.99,6,09.01.2022,18:42:46
Ludmilla Pieper MBA.,51,Kreditkarte,38.99,6,09.01.2022,18:42:56
Wolf-Dietrich Misicher,52,Bar,41.99,3,09.01.2022,19:17:05
Sabri Hövel,24,Kreditkarte,24.99,3,09.01.2022,19:26:37
Eleonore Hoffmann,60,Bar,38.99,2,09.01.2022,19:47:31
Ing. Catharina Gehringer,59,EC-Karte,33.99,8,10.01.2022,10:07:43
Petar Drubin,51,Bar,45.99,6,10.01.2022,10:22:28
Ing. Alban Killer B.A.,53,Bar,35.99,6,10.01.2022,10:25:09
Dipl.-Ing. Götz Warmer MBA.,49,Bar,45.99,7,10.01.2022,10:33:28
Klaas Thies,50,EC-Karte,46.99,2,10.01.2022,10:52:18
Kazim Dietz,52,Kreditkarte,43.99,4,10.01.2022,10:54:37
Herr Karlfried Wulff,53,Kreditkarte,40.99,5,10.01.2022,11:39:18
Oskar Putz-Weitzel,59,EC-Karte,42.99,5,10.01.2022,12:53:34
Janin Karge,67,Kreditkarte,46.99,4,10.01.2022,13:25:25
Lioba Sölzer,32,EC-Karte,12.99,3,10.01.2022,13:29:25
Sibel Schacht B.A.,58,Kreditkarte,50.99,4,10.01.2022,14:05:03
Gerti Staude-Wulff,65,EC-Karte,29.99,4,10.01.2022,14:08:12
Hans-Henning Drubin B.Eng.,57,Bar,46.99,6,10.01.2022,14:25:31
Dipl.-Ing. Calogero Barkholz MBA.,54,Bar,39.99,8,10.01.2022,14:53:53
Hülya Hoffmann,55,Bar,32.99,7,10.01.2022,15:18:34
Karl-Peter Kranz,66,Kreditkarte,36.99,8,10.01.2022,16:05:53
Wanda Gutknecht B.Sc.,26,Bar,24.99,3,10.01.2022,16:17:09
Claire Stolze MBA.,46,Kreditkarte,42.99,8,10.01.2022,16:24:56
Heidelore Zimmer MBA.,25,Kreditkarte,16.99,2,10.01.2022,16:29:21
Ines Dörschner-Scheel,35,Bar,20.99,4,10.01.2022,17:41:59
Dipl.-Ing. Ronald Gnatz B.Sc.,65,Kreditkarte,35.99,5,10.01.2022,17:49:44
Traute Stey,61,Kreditkarte,37.99,6,10.01.2022,17:52:59
Attila Dietz,56,EC-Karte,36.99,6,10.01.2022,17:53:47
Imelda Roskoth B.Sc.,55,Bar,31.99,4,10.01.2022,18:09:50
Anto Hartung-Kreusel,55,Kreditkarte,35.99,9,10.01.2022,19:38:40
Irina Kuhl,52,EC-Karte,43.99,9,10.01.2022,19:42:06
Wanda Jäkel,64,Kreditkarte,34.99,4,10.01.2022,19:54:15
Robert Röhricht,59,Kreditkarte,44.99,5,11.01.2022,10:24:12
Tino Albers-Mülichen,47,Bar,35.99,9,11.01.2022,10:30:00
Fabienne Schenk-Stroh,60,EC-Karte,41.99,4,11.01.2022,11:47:50
Alexa Schuster,62,EC-Karte,44.99,6,11.01.2022,12:18:22
Prof. Leokadia Döhn MBA.,52,Kreditkarte,35.99,3,11.01.2022,12:33:09
Ing. Halil Thanel,30,EC-Karte,31.99,5,11.01.2022,13:15:47
Ing. Martina Krebs,33,Bar,18.99,3,11.01.2022,13:37:47
Sieghard Graf,27,Kreditkarte,30.99,1,11.01.2022,13:49:12
Ramazan Naser,53,Kreditkarte,38.99,7,11.01.2022,14:03:06
Dr. Henning Carsten MBA.,69,Kreditkarte,35.99,4,11.01.2022,14:39:06
Sibylla Harloff B.A.,47,Kreditkarte,45.99,6,11.01.2022,14:43:15
Leonie Weihmann,50,EC-Karte,30.99,5,11.01.2022,14:55:37
Dr. Bianca Naser B.Sc.,48,EC-Karte,35.99,3,11.01.2022,14:57:53
Dipl.-Ing. Nicole Trommler,76,EC-Karte,41.99,3,11.01.2022,14:59:22
Dorota Jacobi Jäckel,53,Bar,49.99,7,11.01.2022,15:18:25
Angelica Klemt B.Eng.,57,Bar,44.99,5,11.01.2022,16:04:44
Prof. Nikolas Juncken,62,EC-Karte,36.99,4,11.01.2022,16:40:31
Imelda Cichorius-Binner,52,EC-Karte,40.99,6,11.01.2022,16:59:50
Karolina Bohlander,50,Kreditkarte,47.99,2,11.01.2022,17:00:28
Ella Möchlichen B.A.,62,EC-Karte,40.99,8,11.01.2022,17:11:41
Thies Flantz,47,EC-Karte,48.99,4,11.01.2022,17:13:56
Klaus-Werner Reuter,52,Bar,36.99,5,11.01.2022,17:28:03
Stilla Mans,67,Kreditkarte,33.99,5,11.01.2022,17:35:15
Randolf Schulz B.Sc.,27,EC-Karte,21.99,3,11.01.2022,17:38:57
Andrew Eckbauer,58,Bar,50.99,4,11.01.2022,17:52:41
Univ.Prof. Lotti Mohaupt B.Sc.,48,Kreditkarte,44.99,4,11.01.2022,18:34:34
Herr Matthias Conradi,31,Bar,24.99,3,11.01.2022,18:40:31
Ehrenfried Bonbach,54,Bar,40.99,4,11.01.2022,19:56:19
Evangelia Eckbauer,56,Bar,36.99,3,12.01.2022,10:22:10
Darius Wagner-Gute,58,EC-Karte,38.99,3,12.01.2022,10:30:19
Jessika Schleich,64,EC-Karte,44.99,4,12.01.2022,10:44:03
Ljudmila Linke-Stahr,27,EC-Karte,20.99,4,12.01.2022,11:26:25
Kathi Gorlitz,35,Bar,23.99,2,12.01.2022,12:34:35
Hans Peter Anders,60,EC-Karte,25.99,2,12.01.2022,13:02:28
Prof. Alexandra Stolze,31,Kreditkarte,17.99,1,12.01.2022,13:03:54
Prof. Klaus-Peter Kade,22,Kreditkarte,20.99,1,12.01.2022,13:07:22
Karin Pohl,51,EC-Karte,31.99,3,12.01.2022,13:12:41
Mathilde Müller-Junk,68,EC-Karte,52.99,8,12.01.2022,13:15:16
Meike Köhler,55,EC-Karte,44.99,4,12.01.2022,13:19:35
Dimitrios Klingelhöfer,64,Bar,44.99,2,12.01.2022,13:46:19
Dipl.-Ing. Susann Thies MBA.,56,Kreditkarte,42.99,5,12.01.2022,14:06:44
Prof. Malte Trapp B.Eng.,51,EC-Karte,45.99,3,12.01.2022,14:22:32
Katherina Schweitzer MBA.,35,Bar,20.99,4,12.01.2022,14:46:47
Dr. Salih Kostolzin,54,Bar,31.99,1,12.01.2022,14:56:00
Conny Wirth B.Eng.,46,Bar,33.99,3,12.01.2022,15:58:57
Sönke Putz,54,EC-Karte,39.99,3,12.01.2022,16:04:38
Anika Winkler,63,EC-Karte,29.99,2,12.01.2022,16:37:03
Simona Wilmsen,31,Kreditkarte,15.99,1,12.01.2022,16:46:28
Meta Knappe,56,EC-Karte,40.99,3,12.01.2022,16:51:38
Dipl.-Ing. Salvatore Nette MBA.,59,Kreditkarte,43.99,2,12.01.2022,16:56:09
Claus-Peter Neuschäfer-Krause,42,EC-Karte,23.99,4,12.01.2022,17:03:06
Ilona Bohnbach,65,EC-Karte,42.99,5,12.01.2022,18:16:13
Betti Reising,55,EC-Karte,46.99,4,12.01.2022,19:15:54
Gunda Weinhold,61,Bar,36.99,1,12.01.2022,19:18:50
Philippe Weihmann,45,EC-Karte,35.99,5,12.01.2022,19:34:44
Friedemann Rörricht,57,Bar,36.99,6,13.01.2022,10:21:23
Nuray Rust,61,Bar,42.99,8,13.01.2022,11:02:19
Angelo Hellwig,53,Bar,48.99,5,13.01.2022,11:31:35
Herr Pascal Seidel,52,EC-Karte,33.99,6,13.01.2022,11:59:00
Cosima Börner,37,EC-Karte,27.99,1,13.01.2022,12:14:16
Dr. Dina Hornig MBA.,63,Kreditkarte,54.99,6,13.01.2022,12:54:38
Pierre Seidel,54,Kreditkarte,33.99,1,13.01.2022,13:27:51
Prof. Georgios Warmer,28,EC-Karte,22.99,3,13.01.2022,14:36:25
Franz-Xaver Kranz,34,Kreditkarte,23.99,1,13.01.2022,14:52:26
Herr Kai-Uwe Müller,27,EC-Karte,17.99,3,13.01.2022,14:58:13
Dr. Susann Biggen,53,Bar,45.99,6,13.01.2022,15:04:32
Kevin Bärer,54,Bar,44.99,6,13.01.2022,15:04:57
Ludmila Gerlach,58,Bar,39.99,6,13.01.2022,15:09:41
Mike Wähner,62,EC-Karte,53.99,3,13.01.2022,15:19:57
Prof. Francis Schmiedecke MBA.,61,EC-Karte,39.99,6,13.01.2022,16:03:44
Jadwiga Heß-Löchel,65,Bar,41.99,2,13.01.2022,16:23:51
Ing. Waldtraut Eberth,56,Kreditkarte,46.99,7,13.01.2022,16:30:29
